pair_id,cell_id,run_id,train_seed,eval_seed,arm_id,arm_mode,family,success,final_distance,first_action_mse,total_reward,steps
11:1021,11:1021:shuffle,visual-beta1-image-seed-11,11,1021,shuffle,shuffle,waypoint_reach,0,0.2848498821258545,0.0008227950893342495,-9.040965527296066,24
11:1022,11:1022:shuffle,visual-beta1-image-seed-11,11,1022,shuffle,shuffle,direct_reach,0,0.766072690486908,0.0008564903400838375,-14.59610167145729,24
11:1023,11:1023:shuffle,visual-beta1-image-seed-11,11,1023,shuffle,shuffle,waypoint_reach,0,0.6270828247070312,0.0008042064728215337,-11.311261862516403,24
11:1000,11:1000:state_only,visual-beta1-state-only-seed-11,11,1000,state_only,state_only,direct_reach,0,0.7950760722160339,0.0009871645597741008,-14.318659543991089,24
11:1001,11:1001:state_only,visual-beta1-state-only-seed-11,11,1001,state_only,state_only,waypoint_reach,0,0.2577798366546631,0.0005598460556939244,-6.181160524487495,24
11:1002,11:1002:state_only,visual-beta1-state-only-seed-11,11,1002,state_only,state_only,direct_reach,0,0.8123297095298767,0.0009357381495647132,-15.745570361614227,24
11:1003,11:1003:state_only,visual-beta1-state-only-seed-11,11,1003,state_only,state_only,waypoint_reach,0,0.5860652923583984,0.00017011389718391,-9.730214059352875,24
11:1004,11:1004:state_only,visual-beta1-state-only-seed-11,11,1004,state_only,state_only,direct_reach,0,0.3229353725910187,0.004165872000157833,-6.957164168357849,24
11:1005,11:1005:state_only,visual-beta1-state-only-seed-11,11,1005,state_only,state_only,waypoint_reach,0,0.4482487142086029,0.0005069577018730342,-7.215622205287218,24
11:1006,11:1006:state_only,visual-beta1-state-only-seed-11,11,1006,state_only,state_only,direct_reach,0,0.6066163778305054,0.0009369144681841135,-10.831463530659676,24
11:1007,11:1007:state_only,visual-beta1-state-only-seed-11,11,1007,state_only,state_only,waypoint_reach,0,0.4177072048187256,0.0005863379337824881,-7.923097729682922,24
11:1008,11:1008:state_only,visual-beta1-state-only-seed-11,11,1008,state_only,state_only,direct_reach,0,0.256176620721817,0.0019701961427927017,-6.234817877411842,24
11:1009,11:1009:state_only,visual-beta1-state-only-seed-11,11,1009,state_only,state_only,waypoint_reach,0,0.35746946930885315,0.0004928213311359286,-6.803421974182129,24
11:1010,11:1010:state_only,visual-beta1-state-only-seed-11,11,1010,state_only,state_only,direct_reach,0,0.799206018447876,0.0008055185899138451,-15.046059101819992,24
11:1011,11:1011:state_only,visual-beta1-state-only-seed-11,11,1011,state_only,state_only,waypoint_reach,0,0.6859869360923767,0.00011420842201914638,-12.358678758144379,24
