pair_id,cell_id,run_id,train_seed,eval_seed,arm_id,arm_mode,family,success,final_distance,first_action_mse,total_reward,steps
11:1004,11:1004:shuffle,language-alpha2-seed-11,11,1004,shuffle,shuffle,reach_blue_right,0,0.22185485064983368,0.002088300185278058,-9.125984206795692,40
11:1005,11:1005:shuffle,language-alpha2-seed-11,11,1005,shuffle,shuffle,reach_blue_right,0,0.1962231993675232,0.011754868552088737,-8.130614310503006,40
11:1006,11:1006:shuffle,language-alpha2-seed-11,11,1006,shuffle,shuffle,reach_green_top,0,0.5932334065437317,0.13131441175937653,-23.442692518234253,40
11:1007,11:1007:shuffle,language-alpha2-seed-11,11,1007,shuffle,shuffle,reach_green_top,0,0.34577086567878723,0.023906676098704338,-13.758983552455902,40
11:1008,11:1008:shuffle,language-alpha2-seed-11,11,1008,shuffle,shuffle,reach_red_left,1,0.043545521795749664,0.004005922935903072,-0.17210603505373,2
11:1009,11:1009:shuffle,language-alpha2-seed-11,11,1009,shuffle,shuffle,reach_red_left,0,0.41886359453201294,0.024194512516260147,-16.55395345389843,40
11:1010,11:1010:shuffle,language-alpha2-seed-11,11,1010,shuffle,shuffle,reach_blue_right,0,0.2218550741672516,0.007031098939478397,-9.074531391263008,40
11:1011,11:1011:shuffle,language-alpha2-seed-11,11,1011,shuffle,shuffle,reach_blue_right,0,0.19622305035591125,0.008196731097996235,-8.08855725824833,40
11:1012,11:1012:shuffle,language-alpha2-seed-11,11,1012,shuffle,shuffle,reach_green_top,0,0.5932334065437317,0.14022329449653625,-23.441813498735428,40
11:1013,11:1013:shuffle,language-alpha2-seed-11,11,1013,shuffle,shuffle,reach_green_top,0,0.3457714319229126,0.012806606478989124,-13.867777407169342,40
11:1014,11:1014:shuffle,language-alpha2-seed-11,11,1014,shuffle,shuffle,reach_red_left,1,0.022856665775179863,0.0010608454467728734,-0.24381533823907375,3
11:1015,11:1015:shuffle,language-alpha2-seed-11,11,1015,shuffle,shuffle,reach_red_left,0,0.41886404156684875,0.0386776365339756,-16.705003559589386,40
11:1016,11:1016:shuffle,language-alpha2-seed-11,11,1016,shuffle,shuffle,reach_blue_right,0,0.22185495495796204,0.0066625624895095825,-9.038657516241074,40
11:1017,11:1017:shuffle,language-alpha2-seed-11,11,1017,shuffle,shuffle,reach_blue_right,0,0.19622303545475006,0.021412480622529984,-7.9042093604803085,40
11:1018,11:1018:shuffle,language-alpha2-seed-11,11,1018,shuffle,shuffle,reach_green_top,0,0.5932334065437317,0.10266567766666412,-23.340244740247726,40
11:1019,11:1019:shuffle,language-alpha2-seed-11,11,1019,shuffle,shuffle,reach_green_top,0,0.34577128291130066,0.011751228012144566,-13.801290273666382,40
11:1020,11:1020:shuffle,language-alpha2-seed-11,11,1020,shuffle,shuffle,reach_red_left,1,0.01097072008997202,0.0002605174668133259,-0.2698959792032838,3
11:1021,11:1021:shuffle,language-alpha2-seed-11,11,1021,shuffle,shuffle,reach_red_left,0,0.41886353492736816,0.02132287621498108,-16.5028974711895,40
11:1022,11:1022:shuffle,language-alpha2-seed-11,11,1022,shuffle,shuffle,reach_blue_right,0,0.2218552678823471,0.013831098563969135,-9.08832785487175,40
11:1023,11:1023:shuffle,language-alpha2-seed-11,11,1023,shuffle,shuffle,reach_blue_right,0,0.19622312486171722,0.014144783839583397,-8.062298655509949,40
11:1000,11:1000:counterfactual,language-alpha2-seed-11,11,1000,counterfactual,counterfactual,reach_green_top,0,0.3457712233066559,0.01902030222117901,-13.781090646982193,40
11:1001,11:1001:counterfactual,language-alpha2-seed-11,11,1001,counterfactual,counterfactual,reach_green_top,0,0.5526132583618164,0.01746964268386364,-21.899109363555908,40
11:1002,11:1002:counterfactual,language-alpha2-seed-11,11,1002,counterfactual,counterfactual,reach_red_left,0,0.701555609703064,0.05209270119667053,-27.48325651884079,40
11:1003,11:1003:counterfactual,language-alpha2-seed-11,11,1003,counterfactual,counterfactual,reach_red_left,0,0.4188636541366577,0.023732375353574753,-16.539054453372955,40
11:1004,11:1004:counterfactual,language-alpha2-seed-11,11,1004,counterfactual,counterfactual,reach_blue_right,0,0.1962229162454605,0.0026881315279752016,-8.205918684601784,40
11:1005,11:1005:counterfactual,language-alpha2-seed-11,11,1005,counterfactual,counterfactual,reach_blue_right,0,0.8505557179450989,0.19291310012340546,-33.85794085264206,40
11:1006,11:1006:counterfactual,language-alpha2-seed-11,11,1006,counterfactual,counterfactual,reach_green_top,0,0.3457711935043335,0.017322709783911705,-13.77642172574997,40
11:1007,11:1007:counterfactual,language-alpha2-seed-11,11,1007,counterfactual,counterfactual,reach_green_top,0,0.5526129007339478,0.05951230227947235,-21.920095771551132,40
11:1008,11:1008:counterfactual,language-alpha2-seed-11,11,1008,counterfactual,counterfactual,reach_red_left,0,0.7015558481216431,0.06755555421113968,-27.421484500169754,40
11:1009,11:1009:counterfactual,language-alpha2-seed-11,11,1009,counterfactual,counterfactual,reach_red_left,0,0.41886359453201294,0.024194512516260147,-16.55395345389843,40
11:1010,11:1010:counterfactual,language-alpha2-seed-11,11,1010,counterfactual,counterfactual,reach_blue_right,0,0.1962229609489441,0.005917276721447706,-8.145655155181885,40
11:1011,11:1011:counterfactual,language-alpha2-seed-11,11,1011,counterfactual,counterfactual,reach_blue_right,0,0.8505557179450989,0.1987282782793045,-33.756400406360626,40
11:1012,11:1012:counterfactual,language-alpha2-seed-11,11,1012,counterfactual,counterfactual,reach_green_top,0,0.3457709848880768,0.022561095654964447,-13.755834519863129,40
11:1013,11:1013:counterfactual,language-alpha2-seed-11,11,1013,counterfactual,counterfactual,reach_green_top,0,0.5526133179664612,0.013655642978847027,-21.854147970676422,40
11:1014,11:1014:counterfactual,language-alpha2-seed-11,11,1014,counterfactual,counterfactual,reach_red_left,0,0.7015558481216431,0.05404319986701012,-27.51392963528633,40
11:1015,11:1015:counterfactual,language-alpha2-seed-11,11,1015,counterfactual,counterfactual,reach_red_left,0,0.41886404156684875,0.0386776365339756,-16.705003559589386,40
11:1016,11:1016:counterfactual,language-alpha2-seed-11,11,1016,counterfactual,counterfactual,reach_blue_right,0,0.19622284173965454,0.006360251922160387,-8.1117632240057,40
11:1017,11:1017:counterfactual,language-alpha2-seed-11,11,1017,counterfactual,counterfactual,reach_blue_right,0,0.8505557179450989,0.24168723821640015,-33.364027976989746,40
11:1018,11:1018:counterfactual,language-alpha2-seed-11,11,1018,counterfactual,counterfactual,reach_green_top,0,0.34577125310897827,0.01620238460600376,-13.802911698818207,40
11:1019,11:1019:counterfactual,language-alpha2-seed-11,11,1019,counterfactual,counterfactual,reach_green_top,0,0.5526129603385925,0.040217284113168716,-21.92870455980301,40
11:1020,11:1020:counterfactual,language-alpha2-seed-11,11,1020,counterfactual,counterfactual,reach_red_left,0,0.7015556693077087,0.04519142210483551,-27.562793225049973,40
11:1021,11:1021:counterfactual,language-alpha2-seed-11,11,1021,counterfactual,counterfactual,reach_red_left,0,0.41886353492736816,0.02132287621498108,-16.5028974711895,40
11:1022,11:1022:counterfactual,language-alpha2-seed-11,11,1022,counterfactual,counterfactual,reach_blue_right,0,0.19622328877449036,0.010762184858322144,-8.152813971042633,40
11:1023,11:1023:counterfactual,language-alpha2-seed-11,11,1023,counterfactual,counterfactual,reach_blue_right,0,0.8505557179450989,0.2083302140235901,-33.73144191503525,40
22:1000,22:1000:control,language-alpha2-seed-22,22,1000,control,none,reach_green_top,0,0.22613675892353058,0.012613540515303612,-9.114998921751976,40
22:1001,22:1001:control,language-alpha2-seed-22,22,1001,control,none,reach_green_top,0,0.5220153331756592,0.08431344479322433,-20.527715981006622,40
22:1002,22:1002:control,language-alpha2-seed-22,22,1002,control,none,reach_red_left,0,0.4544391632080078,0.029137467965483665,-18.022278159856796,40
22:1003,22:1003:control,language-alpha2-seed-22,22,1003,control,none,reach_red_left,0,0.15002425014972687,0.04486279562115669,-5.908245168626308,40
22:1004,22:1004:control,language-alpha2-seed-22,22,1004,control,none,reach_blue_right,0,0.38818562030792236,0.013230346143245697,-15.675322204828262,40
22:1005,22:1005:control,language-alpha2-seed-22,22,1005,control,none,reach_blue_right,0,0.8123515248298645,0.06798207759857178,-32.30861693620682,40
22:1006,22:1006:control,language-alpha2-seed-22,22,1006,control,none,reach_green_top,0,0.22613675892353058,0.013898815959692001,-9.127477392554283,40
22:1007,22:1007:control,language-alpha2-seed-22,22,1007,control,none,reach_green_top,0,0.5220153331756592,0.134158656001091,-20.665578246116638,40
22:1008,22:1008:control,language-alpha2-seed-22,22,1008,control,none,reach_red_left,0,0.4544391930103302,0.042417872697114944,-18.012531131505966,40
22:1009,22:1009:control,language-alpha2-seed-22,22,1009,control,none,reach_red_left,1,0.024187954142689705,0.040989212691783905,-0.024187954142689705,1
22:1010,22:1010:control,language-alpha2-seed-22,22,1010,control,none,reach_blue_right,0,0.3881858289241791,0.01615941897034645,-15.632180362939835,40
22:1011,22:1011:control,language-alpha2-seed-22,22,1011,control,none,reach_blue_right,0,0.812351405620575,0.07326725870370865,-32.247378170490265,40
22:1012,22:1012:control,language-alpha2-seed-22,22,1012,control,none,reach_green_top,0,0.2261366993188858,0.01822756417095661,-9.099584147334099,40
22:1013,22:1013:control,language-alpha2-seed-22,22,1013,control,none,reach_green_top,0,0.5220153331756592,0.06945013254880905,-20.432258635759354,40
22:1014,22:1014:control,language-alpha2-seed-22,22,1014,control,none,reach_red_left,0,0.4544391632080078,0.030023694038391113,-18.047635585069656,40
22:1015,22:1015:control,language-alpha2-seed-22,22,1015,control,none,reach_red_left,0,0.15002425014972687,0.051065538078546524,-5.914930008351803,40
22:1016,22:1016:control,language-alpha2-seed-22,22,1016,control,none,reach_blue_right,0,0.3881857693195343,0.018546920269727707,-15.608097940683365,40
22:1017,22:1017:control,language-alpha2-seed-22,22,1017,control,none,reach_blue_right,0,0.812351405620575,0.10411575436592102,-31.926349490880966,40
